media;pays_siege;theme_media;note;indice_fiabilite;notation;justification
Soap Opera Digest;United States;Société/Culture/Positif;5;4.5;F;
Social Media Today;United States;Généraliste;5;4.5;F;
Social News XYZ;India;Généraliste;5;4.5;F;
Sony-semicon.com;Japan;Généraliste;5;4.5;F;
South China Morning Post;Hong-Kong;Généraliste;5;1;A;Presse connue
southcom.mil;United States;Généraliste;5;4.5;F;
Southeast Iowa Union;United States;Local/Régional;5;4.5;F;
southernminn.com;United States;Généraliste;5;4.5;F;
Sovereign Wealth;;Agrégateur;;5;E;Mot-clé
sportingnews.com;United States;Sports;5;4.5;F;
Sports Collectors Digest;United States;Sports;5;4.5;F;
Sports Illustrated;United States;Sports;5;4.5;F;
Springfield News-Sun;United States;Local/Régional;5;4.5;F;
spyglass.org;United Kingdom;Généraliste;5;4.5;F;
SRN News;United States;Généraliste;5;4.5;F;
ssa.foodsecurityportal.org;United States;Tensions/guerre/violences/géopolitique;5;4.5;F;
Stablecoin Policy;;Agrégateur;;5;E;Mot-clé
Standard journal;United States;Local/Régional;5;4.5;F;
Stanford HAI;;;;4.5;F;
starnewskorea.com;South Korea;Généraliste;5;4.5;F;
Stars and Stripes;United States;Généraliste;5;4.5;F;
Startup Funding;;Agrégateur;;5;E;Mot-clé
Startup Story;India;Tech;5;4.5;F;
Startupbusiness.it;Italy;Tech;5;4.5;F;
StartupHub.ai;United States;Tech;5;4.5;F;
Startups LATAM;;Agrégateur;;5;E;Mot-clé
Startupticker.ch;Switzerland;Tech;5;4.5;F;
State Dept;United States;;;2;B;Agence gouvernementale
State Travel (.gov);United States;Politique américaine;5;2;B;Agence gouvernementale
statnews.com;United States;Business;5;4.5;F;
Steelers Depot;United States;Sports;5;4.5;F;
Sterling Journal-advocate;United States;Local/Régional;5;4.5;F;
Stevivor;Australia;Généraliste;5;4.5;F;
Stimson Center;United States;Tensions/guerre/violences/géopolitique;3;4.5;F;
Stock Titan;United States;Business;5;3;C;Informations marchés
Stocktwits;United States;Business;5;4.5;F;
StorageReview.com;United States;Généraliste;5;4.5;F;
Storyboard18;India;Généraliste;5;4.5;F;
Stratechery;US;;;3;C;Média en ligne, auteur précisés
Strategic Chokepoints;;Agrégateur;;5;E;Mot-clé
stripehype.com;United States;Généraliste;5;4.5;F;
Sudan Horizon;Sudan;Généraliste;5;4.5;F;
Sunny Skyz;United States;;;4;D;Média en ligne, auteur non précisés`
Sunsirs;China;Généraliste;5;4.5;F;
Supply Chain Dive;United States;Business;5;4.5;F;
SURFER Magazine;United States;Généraliste;5;4.5;F;
Svenska Dagbladet;Sweden;;;1;A;Presse connue
SVT Nyheter;Sweden;;;1;A;Presse connue
Tagesschau;Germany;;;2;B;Média, auteur précisés
Taipei Times;Taiwan;Généraliste;5;1;A;Presse connue
Taiwan Tech;;Agrégateur;;5;E;Mot-clé
Tanker & Shipping;;Agrégateur;;5;E;Mot-clé
Task & Purpose;United States;;;2;B;Média, auteur précisés
TASS;Russia;;;5;E;Agence de presse Russe
TCI SUN;Turks and Caicos Islands;Généraliste;5;4.5;F;
Team Rubicon;United States;Généraliste;5;4.5;F;
Tech Antitrust;;Agrégateur;;5;E;Mot-clé
Tech in Asia;Singapore;;;5;E;Mot-clé
Tech IPO News;;Agrégateur;;5;E;Mot-clé
Tech Newsletters;;;;5;E;Mot-clé
Tech Policy Press;United States;Tech;5;5;E;Mot-clé
Tech Times;United States;Tech;5;3;C;Média en ligne, auteur précisés
Tech Xplore;United Kingdom;Tech;5;4.5;F;
tech.eu;Belgium;Tech;3;4;D;Média en ligne, auteur non précisés`
TechAfrica News;South Africa;Tech;5;4.5;F;
TechBuzz News;United States;Tech;5;4.5;F;
TechCabal (Africa);Nigeria;;;2;B;Média, auteur précisés
TechCrunch;United States;Tech;4;2;B;Média, auteur précisés
Techdirt.;United States;Tech;5;4.5;F;
TechMeme;United States;;;4;D;Média en ligne, auteur non précisés`
Technobezz;United States;Tech;5;4.5;F;
TechNode;China;Tech;3;4.5;F;
Technology;Lithuania;Tech;5;5;E;Mot-clé
TechPowerUp;Germany;Tech;5;4.5;F;
TechRadar;United Kingdom;Tech;5;4.5;F;
TechRepublic;United States;Tech;5;4.5;F;
Techstars News;;;;4.5;F;
TechStock²;Romania;Tech;5;4.5;F;
TechTarget;United States;Tech;5;4.5;F;
TelecomTalk;India;Généraliste;5;4.5;F;
TelegraphHerald.com;United States;Généraliste;5;4.5;F;
Telehealth.org;United States;Business;5;4.5;F;
Telex;Hungary;Généraliste;2;3;C;Média en ligne, auteur précisés
Telugu Times;India;Généraliste;5;4.5;F;
Temple Daily Telegram;United States;Local/Régional;5;4.5;F;
Thai PBS;Thailand;;;2;B;Média, auteur précisés
The Africa Report;France;Généraliste;5;4.5;F;
The American Bazaar;United States;Généraliste;5;4.5;F;
The Arkansas Democrat-Gazette;United States;Local/Régional;5;4.5;F;
The Atlantic;United States;Généraliste;3;4.5;F;
The Australian;Australia;Généraliste;5;4.5;F;
The Better India;India;;;2;B;Média, auteur précisés
The Block;United States;;;4;D;
The Borgen Project;United States;Tensions/guerre/violences/géopolitique;5;4.5;F;
The Brussels Times;Belgium;Généraliste;5;2;B;Média, auteur précisés
The Bulletin (Bend);United States;Local/Régional;2;4.5;F;
The Business Journals;United States;Business;5;3;C;Informations marchés
The Business of Fashion;United Kingdom;Business;5;4.5;F;
The Business Standard;India;Business;5;4.5;F;
The Business Times;Singapore;Business;5;4.5;F;
The Christian Science Monitor;Singapore;Généraliste;5;4.5;F;
The Conversation;Australia;Généraliste;5;2;B;Média, auteur précisés
The Daily Yonder;United States;Local/Régional;5;4.5;F;
The Defiant;US;;;3;C;Informations marchés
The Des Moines Register;United States;Local/Régional;5;4.5;F;
The Detroit News;United States;Local/Régional;5;4.5;F;
The Diplomat;United States;Tensions/guerre/violences/géopolitique;3;1;A;Presse connue
The Dispatch;United States;Politique américaine;5;4.5;F;
The Eastleigh Voice;Kenya;Local/Régional;5;4.5;F;
The Economic Times;India;Business;5;1;A;Presse connue
The Economist;United Kingdom;Business;5;4.5;F;
The Edge Malaysia;Malaysia;Généraliste;5;4.5;F;
The Fast Mode;United States;Généraliste;5;4.5;F;
The Global Legal Post;United Kingdom;Généraliste;5;4.5;F;
The Globe and Mail;Canada;Généraliste;5;2;B;Média, auteur précisés
The Guardian;United Kingdom;Généraliste;2;1;A;Presse connue
The Guardian Nigeria News;Nigeria;Généraliste;5;4.5;F;
The Hacker News;India;;;4;D;Média en ligne, auteur non précisés`
The Herald Journal;United States;Local/Régional;5;4.5;F;
The Hill;United States;Politique américaine;3;1;A;Presse connue
The Hindu;India;Généraliste;5;1;A;Presse connue
The Hollywood Reporter;United States;Société/Culture/Positif;5;4.5;F;
The Independent;United Kingdom;Généraliste;5;1;A;Presse connue
The Information;United States;Tech;2;1;A;Presse connue
The Intercept;United States;Généraliste;5;4.5;F;
The Jamestown Foundation;United States;Tensions/guerre/violences/géopolitique;3;4.5;F;
The Japan Times;Japan;Généraliste;5;1;A;Presse connue
The Jersey Vindicator;United States;Local/Régional;5;4.5;F;
The Jerusalem Post;Israel;Généraliste;5;2;B;Presse connue (risque faible)
The Killeen Daily Herald;United States;Local/Régional;5;4.5;F;
The Korea Herald;South Korea;Généraliste;5;1;A;Presse connue
The Korea Times;South Korea;Généraliste;5;4.5;F;
The Law Society Gazette;United Kingdom;Généraliste;5;4.5;F;
The Malaysian Reserve;Malaysia;Généraliste;5;4.5;F;
The Manila Times;Philippines;Généraliste;5;4.5;F;
The Morning Context;India;Généraliste;5;4.5;F;
The Motley Fool;United States;Business;5;3;C;Entreprise
The Nation;Thailand;Généraliste;5;4.5;F;
The Nation Newspaper;Nigeria;Généraliste;5;4.5;F;
The National;United Arab Emirates;;;1;A;Presse connue
The National CIO Review;United States;Généraliste;5;4.5;F;
The National Law Review;United States;Généraliste;5;4.5;F;
The Nevada Independent;United States;Politique américaine;5;4.5;F;
The New Republic;United States;Politique américaine;5;4.5;F;
The New Stack;United States;;;3;C;Informations marchés
The New York Times;United States;Généraliste;5;1;A;Presse connue
The New Yorker;United States;Généraliste;5;4.5;F;
The Next Web;Netherlands;;;2;B;Média, auteur précisés
The Organization for World Peace;Australia;Tensions/guerre/violences/géopolitique;5;4.5;F;
The Parliament Magazine;Belgium;Politique;5;4.5;F;
The Paypers;Netherlands;Généraliste;5;4.5;F;
The Peninsula Qatar;Qatar;Généraliste;5;4.5;F;
The Province;Canada;Généraliste;5;4.5;F;
The Quad-City Times;United States;Local/Régional;5;4.5;F;
The Quantum Insider;United States;Tech;5;4.5;F;
The Recursive;Bulgaria;Généraliste;5;4.5;F;
The Register;United Kingdom;Tech;5;4;D;Média en ligne, auteur non précisés
The Reminder;United States;Généraliste;5;4.5;F;
The Rome News-Tribune;United States;Local/Régional;5;4.5;F;
The San Joaquin Valley Sun;United States;Local/Régional;5;4.5;F;
The Seattle Times;United States;Local/Régional;5;4.5;F;
The Sentry;United States;;;3;C;Média en ligne, auteur précisés
The Singju Post;India;Généraliste;5;4.5;F;
The Spec;United States;Généraliste;5;4.5;F;
The Spinoff;New Zealand;Généraliste;5;1;A;Presse connue
The Star;United States;Généraliste;5;4.5;F;
The Stein Line;United States;Généraliste;5;4.5;F;
The Straits Times;Singapore;Généraliste;5;4.5;F;
The sun;United Kingdom;Généraliste;5;1;A;Presse connue
The Sunday Guardian;India;Généraliste;5;4.5;F;
The Tech Buzz;India;Tech;5;2;B;Média, auteur précisés
The Times of India;India;Généraliste;5;4.5;F;
The Times of Israel;Israel;Généraliste;5;1;A;Presse connue
The Verge;United States;Tech;4;2;B;Média, auteur précisés
The Voice of Africa;United States;Généraliste;5;4.5;F;
The War Zone;United States;;;2;B;Média, auteur précisés
The Washington Post;United States;Généraliste;5;1;A;Presse connue
The White House (.gov);United States;Politique américaine;1;2;B;Agence gouvernementale
thebambooworks.com;China;Généraliste;5;4.5;F;
thebanner.com;United States;Généraliste;5;4.5;F;
TheCable;Nigeria;Généraliste;5;4.5;F;
thedeepdive.ca;Canada;Généraliste;5;4.5;F;
thedefiant.io;United States;Business;5;4.5;F;
TheDesk.net;United States;Généraliste;5;4.5;F;
thelec.net;South Korea;Généraliste;5;4.5;F;
thestreet.com;United States;Généraliste;5;4.5;F;
thetraveler.org;Italy;Généraliste;5;4.5;F;
theweek.in;India;Généraliste;5;4.5;F;
Think Global Health;United States;Généraliste;5;4.5;F;
ThisDay;Nigeria;;;3;C;Média en ligne, auteur précisés
TICE News;United Kingdom;Généraliste;5;4.5;F;
Time Magazine;United States;Généraliste;5;4.5;F;
Times Herald-Record;United States;Local/Régional;5;4.5;F;
Times of Karachi;Pakistan;Généraliste;5;4.5;F;
TipRanks;Israel;Généraliste;5;4.5;F;
TMX Newsfile;Canada;Généraliste;5;4.5;F;
Tokyo Weekender;Japan;Généraliste;5;4.5;F;
Tom's Hardware;United States;Généraliste;5;4.5;F;
Tomorrow's World Today;United States;Généraliste;5;4.5;F;
Toronto Star;Canada;Généraliste;5;4.5;F;
Toronto Sun;Canada;Généraliste;5;4.5;F;
Total Croatia;Croatia;Généraliste;5;4.5;F;
Totally The Bomb;United States;Généraliste;5;4.5;F;
tovima.com;Greece;Généraliste;5;4.5;F;
Tracxn;India;Généraliste;5;4.5;F;
Trade & Tariffs;;Agrégateur;;5;E;Mot-clé
Trade Routes;;Agrégateur;;5;E;Mot-clé
TradeKaizen;United Kingdom;Généraliste;5;4.5;F;
Trading Tech;;Agrégateur;;3;C;Média en ligne, auteur précisés
TradingKey;Singapore;Business;5;4.5;F;
TradingView;United States;Business;5;3;C;Informations marchés
TravelMole;United States;Généraliste;5;4.5;F;
Treasury;United States;;;2;B;Agence gouvernementale
Treasury Watch;;Agrégateur;;2;B;Agence gouvernementale
trendingtopics.eu;Australia;Généraliste;5;4.5;F;
TRT Afrika;Turkey;Généraliste;5;4.5;F;
TVN24;Poland;;;2;B;Média, auteur précisés
TWIST Episodes;;;;4.5;F;
TWZ;United States;Tensions/guerre/violences/géopolitique;5;2;B;Média, auteur précisés
U.S. Department of State (.gov);United States;Politique;5;2;B;Agence gouvernementale
U.S. Department of War (.gov);United States;Tensions/guerre/violences/géopolitique;5;2;B;Agence gouvernementale
UA.NEWS;United States;Généraliste;5;4.5;F;
UEFA.com;Switzerland;Sports;5;4.5;F;
UK MOD;United Kingdom;;;2;B;Agence gouvernementale
UK Tech Policy;;Agrégateur;;5;E;Mot-clé
UN News;United States;Politique;5;5;E;Mot-clé
UN World Food Programme;Italy;Environnement;5;4.5;F;
Unchained;United States;;;3;C;Site de trading
unchainedcrypto.com;United States;Business;5;3;C;Site de trading
UNESCO;France;Généraliste;5;4.5;F;
UNHCR;Switzerland;;;2;B;Agence gouvernementale
UnHerd;United Kingdom;Généraliste;5;4.5;F;
unicef usa;United States;Généraliste;5;4.5;F;
Unicorn News;;Agrégateur;;5;E;Mot-clé
unifor.org;Canada;Généraliste;5;4.5;F;
Unite with Priti;India;Politique américaine;5;4.5;F;
upi.com;United States;Généraliste;5;4.5;F;
UploadVR;United States;Généraliste;5;4.5;F;
Upstream Online;Norway;Business;5;4.5;F;
Upworthy;United States;;;4;D;Média en ligne, auteur non précisés
Uranium Market;;Agrégateur;;5;E;Mot-clé
US Top News and Analysis;United States;Généraliste;5;5;E;Mot-clé
USA Today;United States;Généraliste;5;1;A;Presse connue
USNI News;United States;Tensions/guerre/violences/géopolitique;2;2;B;Média, auteur précisés
Valley News Live;United States;Local/Régional;5;4.5;F;
Valor International;South Africa;Généraliste;5;4.5;F;
Vanguard Nigeria;Nigeria;;;2;B;Média, auteur précisés
Variety;United States;Société/Culture/Positif;5;4.5;F;
varindia.com;India;Généraliste;5;4.5;F;
Vatican News;Vatican City;Généraliste;5;4.5;F;
VC Insights;;Agrégateur;;3;C;Entreprise
VC News;;Agrégateur;;3;C;Entreprise
Venturebeat;United States;Tech;5;3;C;Média en ligne, auteur précisés
Verge Shows;United States;;;3;C;Média en ligne, auteur précisés
VICE;Canada;Généraliste;5;4.5;F;
Vietnam Tech;;Agrégateur;;5;E;Mot-clé
vijesti.me;Montenegro;Généraliste;5;4.5;F;
Vino Joy News;Hong-Kong;Généraliste;5;4.5;F;
Virginia Business;United States;Local/Régional;5;4.5;F;
Vision 2030;;Agrégateur;;2;B;Agence gouvernementale
Vogue;United States;Société/Culture/Positif;5;4.5;F;
VSquare;Hungary;Tensions/guerre/violences/géopolitique;3;3;C;Site de trading
VTDigger;United States;Local/Régional;5;4.5;F;
WAJR;United States;Local/Régional;5;4.5;F;
Wall Street Journal;United States;;;1;A;Presse connue
WANA News Agency;Iran;Généraliste;5;4.5;F;
Wandile Sihlobo | Substack;South Africa;Généraliste;5;4.5;F;
War on the Rocks;United States;;;2;B;Média, auteur précisés
Washington Blade;United States;Politique américaine;5;4.5;F;
Washington Examiner;United States;Politique américaine;5;4.5;F;
Washington Times;United States;Politique américaine;5;4.5;F;
wbbjtv.com;United States;Généraliste;5;4.5;F;
WBOY.com;United States;Local/Régional;5;4.5;F;
WDIO.com;United States;Local/Régional;5;4.5;F;
wdtimes.com;United States;Généraliste;5;4.5;F;
WDTV 5;United States;Local/Régional;5;4.5;F;
WECT | TV6;United States;Local/Régional;5;4.5;F;
WEEX;Singapore;Local/Régional;5;4.5;F;
Welcome to the United Nations;United States;Politique;5;4.5;F;
West Ham United;United Kingdom;Sports;5;4.5;F;
WETM;United States;Local/Régional;5;4.5;F;
WFAA;United States;Local/Régional;5;4.5;F;
WFLX;United States;Local/Régional;5;4.5;F;
WFMZ.com;United States;Local/Régional;5;4.5;F;
WFSU News;United States;Local/Régional;5;4.5;F;
WHAS11;United States;Local/Régional;5;4.5;F;
White House;United States;;;2;B;Agence gouvernementale
Whitman County Gazette;United States;Local/Régional;5;4.5;F;
WHO;;;;4.5;F;
WHTC;United States;Local/Régional;5;4.5;F;
Wilkes-Barre Citizens' Voice;United States;Local/Régional;5;4.5;F;
Wilson Center;;;;4.5;F;
WinBuzzer;Germany;Généraliste;5;4.5;F;
Windows Central;United States;Généraliste;5;4.5;F;
WION;India;Généraliste;5;4.5;F;
WIRED;United States;Tech;5;4.5;F;
WISN;United States;Local/Régional;5;4.5;F;
WJAC;United States;Local/Régional;5;4.5;F;
WKYT;United States;Local/Régional;5;4.5;F;
WLWT;United States;Local/Régional;5;4.5;F;
WMBF;United States;Local/Régional;5;4.5;F;
World Central Kitchen;United States;Généraliste;5;4.5;F;
World Gold Council;United Kingdom;;;3;C;Informations marchés
World Nuclear News;United Kingdom;Environnement;5;4.5;F;
World Oil;United States;Business;5;4.5;F;
World Soccer Talk;United States;Sports;5;4.5;F;
Wowtale;India;Généraliste;5;4.5;F;
WPBF;United States;Local/Régional;5;4.5;F;
WPDE;United States;Local/Régional;5;4.5;F;
WQAD;United States;Local/Régional;5;4.5;F;
WRAL;United States;Local/Régional;5;4.5;F;
WRDW;United States;Local/Régional;5;4.5;F;
WSBT;United States;Local/Régional;5;4.5;F;
WSET;United States;Local/Régional;5;4.5;F;
WSJ;United States;Business;5;1;A;Presse connue
WTAE;United States;Local/Régional;5;4.5;F;
WTAP;United States;Local/Régional;5;4.5;F;
WTAQ;United States;Local/Régional;5;4.5;F;
WTOV;United States;Local/Régional;5;4.5;F;
WVUA 23;United States;Local/Régional;5;4.5;F;
WWMT;United States;Local/Régional;5;4.5;F;
WXOW;United States;Local/Régional;5;4.5;F;
wyomingnewsnow.tv;United States;Généraliste;5;4.5;F;
WZTV;United States;Local/Régional;5;4.5;F;
Xinhua;China;Généraliste;3;5;E;
Y Combinator;United States;Tech;2;2;B;Média, auteur précisés
Yahoo;United States;Généraliste;5;5;E;Mot-clé
Yahoo Finance;United States;Business;4;5;E;Mot-clé
Yahoo Finance Australia;Australia;Business;5;5;E;Mot-clé
Yahoo Finance Commodities;United States;;;5;E;Mot-clé
Yahoo Finance UK;United Kingdom;Business;5;5;E;Mot-clé
Yahoo Lifestyle Singapore;Singapore;Société/Culture/Positif;5;5;E;Mot-clé
Yahoo News New Zealand;New Zealand;Généraliste;5;5;E;Mot-clé
Yahoo News Singapore;Singapore;Généraliste;5;5;E;Mot-clé
Yahoo News UK;United Kingdom;Généraliste;5;5;E;Mot-clé
Yahoo Sports;United States;Sports;5;5;E;Mot-clé
Yahoo Sports Canada;Canada;Sports;5;5;E;Mot-clé
Yahoo Tech;United States;Tech;5;5;E;Mot-clé
Yahoo! Finance Canada;Canada;Business;5;5;E;Mot-clé
Yale E360;United States;Environnement;5;4.5;F;
YC Launches;United States;;;5;E;Mot-clé
Yes! Magazine;United States;;;3;C;Média, auteur non précisés
Ynetnews;;;;4.5;F;
YourStory;India;;;3;C;Entreprise
Zacks Investment Research;United States;Business;5;4.5;F;
Zamin.uz;Uzbekistan;Généraliste;5;4.5;F;
ZDNet;United States;;;3;C;Informations marchés
Zee Business;India;Business;5;4.5;F;
Судово-юридична газета;Ukraine;Généraliste;5;4.5;F;
اسلام تايمز;Lebanon;Généraliste;5;4.5;F;
ایران اینترنشنال;United Kingdom;Généraliste;5;4.5;F;
شبكة يافا الإخبارية;Palestine;Généraliste;5;4.5;F;
شفق نيوز;Iraq;Généraliste;5;4.5;F;
公益財団法人日本国際問題研究所;Japan;Généraliste;5;4.5;F;
富途牛牛;Hong-Kong;Généraliste;5;4.5;F;
常驻联合国代表团;China;Généraliste;5;4.5;F;
朝日新聞;Japan;Généraliste;5;4.5;F;
디지털투데이;South Korea;Généraliste;5;4.5;F;
조선일보;South Korea;Généraliste;5;4.5;F;
Chosun Ilbo;South Korea;;;1;A;
Amar Ujala;India;;;2;B;
VnExpress;Vietnam;;;1;A;
Iran International;United Kingdom;;;5;E;
Yonhap News;South Korea;;;2;B;
Novaya Gazeta Europe;Latvia;;;1;A;
Correctiv;Germany;;;2;B;
Asharq News;Saudi Arabia;;;3;C;
ScienceDaily;United States;;;3;C;
ATV;Hungary;;;2;B;
MIIT (China);China;;;2;B;
El Tiempo;Colombia;;;1;A;
